date,read_bytes,write_bytes
2016-09-29,461575088755877.0,259055950981936.0
2016-09-30,379185142890074.0,211107651405070.0
2016-10-01,382754445201959.0,237387088621690.0
2016-10-02,240023349172332.0,159525477853792.0
2016-10-03,94832846165788.4,154089536855538.0
2016-10-04,162348357838552.0,209074757411807.0
2016-10-05,329634004498948.0,200359545574801.0
2016-10-06,203677742759187.0,78627801746412.5
2016-10-07,153524098015365.0,112988384942879.0
2016-10-08,87176932835115.0,87722325097067.6
2016-10-09,560335396928116.0,62964241798636.0
2016-10-10,136118298612675.0,152160930989857.0
2016-10-11,110907828777090.0,132157289870713.0
2016-10-12,475153922035001.0,434941862236481.0
2016-10-13,510481097199976.0,477429064496293.0
2016-10-14,88252803415052.8,62654521599241.9
2016-10-15,140991368981901.0,31562373228311.6
2016-10-16,299468342643877.0,69986358729892.7
2016-10-17,309214228646508.0,186167061573733.0
2016-10-18,264016449085437.0,165607554747561.0
2016-10-19,397294726110657.0,111575529365969.0
2016-10-20,333840675994485.0,153894293982662.0
2016-10-21,164885437005079.0,175607040314453.0
2016-10-22,104515916707037.0,104621333956117.0
2016-10-23,420135641570069.0,334676475227059.0
2016-10-24,158892631636416.0,108566717190716.0
2016-10-25,220091915714773.0,307829128964096.0
2016-10-26,363246448639275.0,175619079491029.0
2016-10-27,172649091013824.0,31378620751085.7
2016-10-28,383885546203568.0,361434330454978.0
2016-10-29,56150382467480.8,51590498456580.7
2016-10-30,16475378733887.2,14147876715097.4
2016-10-31,204070853892571.0,55513116153379.9
2016-11-01,318173129856792.0,172029993590999.0
2016-11-02,241621023486761.0,167174015952785.0
2016-11-03,317231556808629.0,252269695493252.0
2016-11-04,724507317048040.0,297246447488307.0
2016-11-05,267415078420691.0,109982841081404.0
2016-11-07,722922106484358.0,406592513382943.0
2016-11-08,487502175066388.0,520957516432295.0
2016-11-09,888211738541986.0,416853774532310.0
2016-11-10,401395961670041.0,531660618357185.0
2016-11-11,181896731450551.0,134618430832124.0
2016-11-12,73149088034787.7,174989601749990.0
2016-11-13,130301925217706.0,205269177158282.0
2016-11-14,118840451110376.0,229849057706861.0
2016-11-15,189384918434649.0,272515736908600.0
2016-11-16,190031963619721.0,318744207621133.0
2016-11-17,19346559849702.7,16707089932477.0
2016-11-18,10844742743884.6,20331956849453.2
2016-11-19,81865215002097.5,127116148149376.0
2016-11-20,144153064208908.0,151329830749187.0
2016-11-21,292165451608302.0,272630822225183.0
2016-11-22,491516602226016.0,272190924562185.0
2016-11-23,700789469618417.0,448030663981473.0
2016-11-24,839884119662892.0,394043598999230.0
2016-11-25,866307191694746.0,705281237591563.0
2016-11-26,764569737427535.0,580672017223141.0
2016-11-27,752576775462193.0,542064762866948.0
2016-11-28,915384979298322.0,657571732972104.0
2016-11-29,923595062038221.0,682668281940795.0
2016-11-30,486062037626534.0,632307446361017.0
2016-12-01,331344353000915.0,334597648564651.0
2016-12-02,243028635584302.0,266047625577888.0
2016-12-03,123936465319490.0,226096047610929.0
2016-12-04,205367764009906.0,146118789020492.0
2016-12-05,360443830709602.0,322923869429525.0
2016-12-06,421576236570594.0,333081230899737.0
2016-12-07,1.10429229040637e+15,585968904796167.0
2016-12-08,997694355553710.0,511749087727673.0
2016-12-09,784073955041205.0,421442043053407.0
2016-12-10,986908361985502.0,593869050109078.0
2016-12-11,1.0209951862093e+15,655484765507558.0
2016-12-12,780549563911370.0,818923951526973.0
2016-12-13,436837161838735.0,418083378472177.0
2016-12-14,353515167075611.0,356117303868546.0
2016-12-15,230785362297156.0,281751788369622.0
2016-12-16,203936633869513.0,376924135038146.0
2016-12-17,191024674844990.0,330878503956654.0
2016-12-18,173319736229768.0,281446115819932.0
2016-12-19,141892634691776.0,245053837545083.0
2016-12-20,41149115521381.1,62605774333057.2
2016-12-21,383016577951044.0,511975833872363.0
2016-12-22,244141460825310.0,374499044683554.0
2016-12-23,111138468397345.0,167643781547916.0
2016-12-24,327229317695168.0,464540529461838.0
2016-12-25,133896926129665.0,208187482537605.0
2016-12-26,80609145868622.9,140332825614521.0
2016-12-27,150566981875710.0,301243229619497.0
2016-12-28,135656601890137.0,173540447597267.0
2016-12-29,139228001936379.0,158874692557278.0
2016-12-30,260110179834244.0,381636153478909.0
2016-12-31,268609863895981.0,484985205773059.0
2017-01-01,264650673990594.0,356472321837246.0
2017-01-02,426476600298535.0,443684759538013.0
2017-01-03,441750493695908.0,436576309117899.0
2017-01-04,514967387270415.0,535000883882557.0
2017-01-05,1.78999339360779e+15,526108973902777.0
2017-01-06,2.70193818375769e+15,823278014307188.0
2017-01-07,725194279762668.0,467210127254263.0
2017-01-08,4.24289288043095e+15,982438446038814.0
2017-01-09,3.55520619542138e+15,835087572834865.0
2017-01-10,3.58144694937065e+15,942971468781450.0
2017-01-11,4.65995789710115e+15,1.07202250486438e+15
2017-01-12,1.33874362377635e+15,720064441787584.0
2017-01-13,1.82850887645206e+15,567327436136490.0
2017-01-14,231046858269630.0,163774558935075.0
2017-01-15,671090438290116.0,533919810608786.0
2017-01-16,700611927154431.0,371553409316008.0
2017-01-17,289582631863240.0,283565828280643.0
2017-01-18,2.25874968757747e+15,731758627055200.0
2017-01-19,4.52241903675446e+15,1.23244493959874e+15
2017-01-20,549298066150181.0,535851271708931.0
2017-01-21,270262971356318.0,505973346518289.0
2017-01-22,293581238855126.0,704871887931379.0
2017-01-23,445211145672025.0,496324556947454.0
2017-01-24,337009939331421.0,408682866887865.0
2017-01-25,195017852747327.0,527179836270879.0
2017-01-26,505076614609364.0,688297417338039.0
2017-01-27,603128337727574.0,704148170650964.0
2017-01-28,593035127050165.0,587402276400498.0
2017-01-29,559150489490034.0,616424378554616.0
2017-01-30,627639525672590.0,724956118437615.0
2017-01-31,656966153311860.0,764608987580235.0
2017-02-01,488056884024684.0,733716108578449.0
2017-02-02,238497939223212.0,352209889880690.0
2017-02-03,518884320932455.0,518662061303066.0
2017-02-04,530018683451613.0,591468483627992.0
2017-02-05,615409418261865.0,760473293580437.0
2017-02-06,189544356260787.0,135096376764091.0
2017-02-09,1.51569199060574e+15,660297639354926.0
2017-02-10,1.20902208494603e+15,521390762449113.0
2017-02-11,326456055682161.0,382025720723243.0
2017-02-12,333076559961390.0,442975923815545.0
2017-02-13,419411644686930.0,503059297782197.0
2017-02-14,612229536026092.0,702240669028357.0
2017-02-15,455530421446040.0,763552147731221.0
2017-02-16,474518030641052.0,424327569167051.0
2017-02-17,753827200042857.0,639529407535697.0
2017-02-18,717342271171394.0,583711060729009.0
2017-02-19,875107912577525.0,350994687395495.0
2017-02-20,1.42170018755305e+15,463314817125510.0
2017-02-21,547350490880938.0,242188220403920.0
2017-02-22,2.44496850575651e+15,941907907738771.0
2017-02-23,2.24001028610017e+15,858153788637238.0
2017-02-24,2.28147786253013e+15,900738445856684.0
2017-02-25,2.23878503087048e+15,1.02176158757225e+15
2017-02-26,568004821960939.0,976594347094112.0
2017-02-27,781765684763845.0,994855855254265.0
2017-02-28,497563994961146.0,522086247347089.0
2017-03-01,264524739638120.0,270685625065627.0
2017-03-02,139734199132539.0,105699352316855.0
2017-03-03,251042512418419.0,155333648460707.0
2017-03-04,626173436467910.0,474606352607944.0
2017-03-05,957232462935122.0,515235636675584.0
2017-03-06,1.09587760924769e+15,543939244264657.0
2017-03-07,1.65759010433235e+15,808413991198550.0
2017-03-08,1.2790094066076e+15,559658049775714.0
2017-03-09,2.25484401277036e+15,908735872373522.0
2017-03-10,1.6961242712997e+15,679683737921070.0
2017-03-11,723753592695051.0,732804703602635.0
2017-03-12,790214372409594.0,483481796800968.0
2017-03-13,788918520457879.0,700835811645345.0
2017-03-14,715972111970171.0,986494652038653.0
2017-03-15,668815574962683.0,974556756922974.0
2017-03-16,709143805066343.0,886785362946930.0
2017-03-17,785760025265634.0,739104941222436.0
2017-03-18,896662500260402.0,752983344919981.0
2017-03-19,497100763078037.0,506864311918060.0
2017-03-20,846912775985029.0,689114189242921.0
2017-03-21,359180287836207.0,229364459895733.0
